State,Total_Vehicles,EV_pct,PHEV_pct,HEV_pct,Gasoline_pct
Alabama,4806900,0.27,0.12,1.32,85.34
Alaska,554700,0.49,0.16,1.91,81.9
Arizona,6464800,1.39,0.4,2.72,84.6
Arkansas,2698000,0.26,0.12,1.37,83.25
California,36842400,3.41,1.11,4.62,84.66
Colorado,5395300,1.67,0.7,2.83,83.57
Connecticut,2924800,1.08,0.63,2.57,89.33
Delaware,909600,0.92,0.42,2.52,86.99
"District of Columbia",311500,2.6,1.19,5.81,84.27
Florida,18487100,1.38,0.31,2.24,87.29
Georgia,9565500,0.97,0.24,1.83,86.31
Hawaii,1076400,2.38,0.68,3.38,88.35
Idaho,1943000,0.44,0.24,2.25,80.73
Illinois,9983600,1,0.33,2.86,85.74
Indiana,6113600,0.43,0.21,1.95,84.5
Iowa,3095800,0.29,0.2,1.85,82.22
Kansas,2605000,0.43,0.21,1.93,83.25
Kentucky,4015300,0.29,0.14,1.67,85.05
Louisiana,3755100,0.22,0.11,1.07,83.69
Maine,1228100,0.6,0.62,2.74,84.37
Maryland,5028500,1.43,0.62,3.35,86.07
Massachusetts,5461100,1.35,0.8,3.43,87.74
Michigan,8476000,0.59,0.34,1.75,84.12
Minnesota,5094000,0.73,0.32,2.44,82.83
Mississippi,2714800,0.13,0.07,1.04,83.82
Missouri,5588400,0.48,0.25,2.04,82.47
Montana,1010900,0.46,0.25,2.09,77.23
Nebraska,1945900,0.35,0.2,1.68,82.24
Nevada,2535800,1.87,0.42,2.74,85.55
"New Hampshire",1371400,0.72,0.48,2.68,86.43
"New Jersey",7287700,1.85,0.56,2.39,88.27
"New Mexico",1929500,0.53,0.25,2.3,82.8
"New York",11239500,1.17,0.82,2.79,88.13
"North Carolina",9013800,0.78,0.26,2.34,86.13
"North Dakota",790200,0.13,0.1,1.04,79.13
Ohio,10256400,0.49,0.23,1.95,86.59
Oklahoma,4242900,0.54,0.78,1.33,84.08
Oregon,3781700,1.7,0.76,4.15,81.29
Pennsylvania,10169200,0.69,0.38,2.41,87.39
"Rhode Island",871600,0.73,0.59,2.54,89.72
"South Carolina",4997500,0.42,0.18,1.66,86.54
"South Dakota",904700,0.19,0.14,1.32,79.4
Tennessee,6501100,0.51,0.17,1.74,86.45
Texas,25674800,0.9,0.22,1.73,83.32
Utah,3050200,1.31,0.43,2.73,81.95
Vermont,588100,1.33,0.97,3.45,84.34
Virginia,7693300,1.1,0.35,2.98,86.7
Washington,6769400,2.25,0.61,4.54,82.47
"West Virginia",1495700,0.19,0.12,1.5,85.68
Wisconsin,5502600,0.45,0.23,2.25,83.68
Wyoming,639200,0.17,0.13,1.31,76.52
